#           k/h    P           
    0.10000E-03    0.49410E+00
    0.10202E-03    0.50374E+00
    0.10408E-03    0.51356E+00
    0.10618E-03    0.52358E+00
    0.10833E-03    0.53379E+00
    0.11052E-03    0.54420E+00
    0.11275E-03    0.55482E+00
    0.11503E-03    0.56564E+00
    0.11735E-03    0.57667E+00
    0.11972E-03    0.58792E+00
    0.12214E-03    0.59938E+00
    0.12461E-03    0.61107E+00
    0.12712E-03    0.62299E+00
    0.12969E-03    0.63514E+00
    0.13231E-03    0.64752E+00
    0.13499E-03    0.66015E+00
    0.13771E-03    0.67303E+00
    0.14049E-03    0.68615E+00
    0.14333E-03    0.69953E+00
    0.14623E-03    0.71317E+00
    0.14918E-03    0.72708E+00
    0.15220E-03    0.74126E+00
    0.15527E-03    0.75571E+00
    0.15841E-03    0.77045E+00
    0.16161E-03    0.78547E+00
    0.16487E-03    0.80079E+00
    0.16820E-03    0.81640E+00
    0.17160E-03    0.83232E+00
    0.17507E-03    0.84855E+00
    0.17860E-03    0.86509E+00
    0.18221E-03    0.88196E+00
    0.18589E-03    0.89916E+00
    0.18965E-03    0.91669E+00
    0.19348E-03    0.93456E+00
    0.19739E-03    0.95278E+00
    0.20138E-03    0.97135E+00
    0.20544E-03    0.99029E+00
    0.20959E-03    0.10096E+01
    0.21383E-03    0.10293E+01
    0.21815E-03    0.10493E+01
    0.22255E-03    0.10698E+01
    0.22705E-03    0.10906E+01
    0.23164E-03    0.11119E+01
    0.23632E-03    0.11336E+01
    0.24109E-03    0.11557E+01
    0.24596E-03    0.11782E+01
    0.25093E-03    0.12011E+01
    0.25600E-03    0.12245E+01
    0.26117E-03    0.12484E+01
    0.26645E-03    0.12727E+01
    0.27183E-03    0.12975E+01
    0.27732E-03    0.13228E+01
    0.28292E-03    0.13486E+01
    0.28864E-03    0.13748E+01
    0.29447E-03    0.14016E+01
    0.30042E-03    0.14289E+01
    0.30649E-03    0.14568E+01
    0.31268E-03    0.14851E+01
    0.31899E-03    0.15141E+01
    0.32544E-03    0.15435E+01
    0.33201E-03    0.15736E+01
    0.33872E-03    0.16042E+01
    0.34556E-03    0.16355E+01
    0.35254E-03    0.16673E+01
    0.35966E-03    0.16998E+01
    0.36693E-03    0.17328E+01
    0.37434E-03    0.17666E+01
    0.38190E-03    0.18009E+01
    0.38962E-03    0.18360E+01
    0.39749E-03    0.18717E+01
    0.40552E-03    0.19081E+01
    0.41371E-03    0.19452E+01
    0.42207E-03    0.19831E+01
    0.43060E-03    0.20216E+01
    0.43929E-03    0.20609E+01
    0.44817E-03    0.21010E+01
    0.45722E-03    0.21419E+01
    0.46646E-03    0.21835E+01
    0.47588E-03    0.22259E+01
    0.48550E-03    0.22692E+01
    0.49530E-03    0.23133E+01
    0.50531E-03    0.23582E+01
    0.51552E-03    0.24040E+01
    0.52593E-03    0.24507E+01
    0.53656E-03    0.24982E+01
    0.54739E-03    0.25467E+01
    0.55845E-03    0.25962E+01
    0.56973E-03    0.26465E+01
    0.58124E-03    0.26979E+01
    0.59299E-03    0.27502E+01
    0.60496E-03    0.28035E+01
    0.61719E-03    0.28579E+01
    0.62965E-03    0.29132E+01
    0.64237E-03    0.29697E+01
    0.65535E-03    0.30272E+01
    0.66859E-03    0.30858E+01
    0.68210E-03    0.31455E+01
    0.69588E-03    0.32064E+01
    0.70993E-03    0.32684E+01
    0.72427E-03    0.33316E+01
    0.73891E-03    0.33960E+01
    0.75383E-03    0.34617E+01
    0.76906E-03    0.35285E+01
    0.78460E-03    0.35967E+01
    0.80045E-03    0.36661E+01
    0.81662E-03    0.37368E+01
    0.83311E-03    0.38089E+01
    0.84994E-03    0.38823E+01
    0.86711E-03    0.39571E+01
    0.88463E-03    0.40333E+01
    0.90250E-03    0.41109E+01
    0.92073E-03    0.41900E+01
    0.93933E-03    0.42705E+01
    0.95831E-03    0.43526E+01
    0.97767E-03    0.44361E+01
    0.99742E-03    0.45212E+01
    0.10176E-02    0.46079E+01
    0.10381E-02    0.46962E+01
    0.10591E-02    0.47862E+01
    0.10805E-02    0.48777E+01
    0.11023E-02    0.49710E+01
    0.11246E-02    0.50660E+01
    0.11473E-02    0.51627E+01
    0.11705E-02    0.52611E+01
    0.11941E-02    0.53614E+01
    0.12182E-02    0.54634E+01
    0.12429E-02    0.55673E+01
    0.12680E-02    0.56731E+01
    0.12936E-02    0.57808E+01
    0.13197E-02    0.58904E+01
    0.13464E-02    0.60019E+01
    0.13736E-02    0.61154E+01
    0.14013E-02    0.62309E+01
    0.14296E-02    0.63485E+01
    0.14585E-02    0.64681E+01
    0.14880E-02    0.65898E+01
    0.15180E-02    0.67136E+01
    0.15487E-02    0.68395E+01
    0.15800E-02    0.69677E+01
    0.16119E-02    0.70980E+01
    0.16445E-02    0.72305E+01
    0.16777E-02    0.73652E+01
    0.17116E-02    0.75023E+01
    0.17462E-02    0.76416E+01
    0.17814E-02    0.77832E+01
    0.18174E-02    0.79272E+01
    0.18541E-02    0.80735E+01
    0.18916E-02    0.82222E+01
    0.19298E-02    0.83733E+01
    0.19688E-02    0.85269E+01
    0.20086E-02    0.86828E+01
    0.20491E-02    0.88413E+01
    0.20905E-02    0.90022E+01
    0.21328E-02    0.91656E+01
    0.21758E-02    0.93315E+01
    0.22198E-02    0.94999E+01
    0.22646E-02    0.96709E+01
    0.23104E-02    0.98444E+01
    0.23571E-02    0.10020E+02
    0.24047E-02    0.10199E+02
    0.24533E-02    0.10380E+02
    0.25028E-02    0.10564E+02
    0.25534E-02    0.10750E+02
    0.26050E-02    0.10939E+02
    0.26576E-02    0.11131E+02
    0.27113E-02    0.11325E+02
    0.27660E-02    0.11521E+02
    0.28219E-02    0.11721E+02
    0.28789E-02    0.11922E+02
    0.29371E-02    0.12127E+02
    0.29964E-02    0.12333E+02
    0.30569E-02    0.12543E+02
    0.31187E-02    0.12754E+02
    0.31817E-02    0.12969E+02
    0.32460E-02    0.13185E+02
