#    L    TT             EE             BB             TE          
     2    0.10812E+04    0.51423E-01    0.14032E-05    0.34793E+01
     3    0.10214E+04    0.85939E-01    0.28069E-05    0.43485E+01
     4    0.96140E+03    0.99219E-01    0.46793E-05    0.44912E+01
     5    0.91410E+03    0.90755E-01    0.70211E-05    0.41954E+01
     6    0.87944E+03    0.69427E-01    0.98330E-05    0.36863E+01
     7    0.85543E+03    0.45819E-01    0.13116E-04    0.31080E+01
     8    0.83950E+03    0.27137E-01    0.16871E-04    0.25495E+01
     9    0.82983E+03    0.15780E-01    0.21100E-04    0.20589E+01
    10    0.82506E+03    0.10565E-01    0.25804E-04    0.16640E+01
    11    0.82381E+03    0.88489E-02    0.30984E-04    0.13765E+01
    12    0.82631E+03    0.83316E-02    0.36642E-04    0.11989E+01
    13    0.83074E+03    0.77278E-02    0.42780E-04    0.11123E+01
    14    0.83617E+03    0.68865E-02    0.49399E-04    0.10928E+01
    15    0.84295E+03    0.60983E-02    0.56501E-04    0.11222E+01
    16    0.85155E+03    0.56628E-02    0.64088E-04    0.11843E+01
    17    0.86188E+03    0.56958E-02    0.72162E-04    0.12617E+01
    18    0.87292E+03    0.60456E-02    0.80725E-04    0.13403E+01
    19    0.88551E+03    0.65234E-02    0.89778E-04    0.14122E+01
    20    0.89799E+03    0.70217E-02    0.99324E-04    0.14705E+01
    21    0.91070E+03    0.75295E-02    0.10936E-03    0.15189E+01
    22    0.92395E+03    0.81484E-02    0.11990E-03    0.15620E+01
    23    0.93755E+03    0.89760E-02    0.13093E-03    0.16010E+01
    24    0.95156E+03    0.10062E-01    0.14247E-03    0.16372E+01
    25    0.96591E+03    0.11439E-01    0.15450E-03    0.16738E+01
    26    0.98042E+03    0.13087E-01    0.16704E-03    0.17153E+01
    27    0.99533E+03    0.14956E-01    0.18008E-03    0.17596E+01
    28    0.10105E+04    0.17021E-01    0.19363E-03    0.18048E+01
    29    0.10259E+04    0.19287E-01    0.20768E-03    0.18500E+01
    30    0.10416E+04    0.21767E-01    0.22225E-03    0.18925E+01
    31    0.10574E+04    0.24445E-01    0.23732E-03    0.19290E+01
    32    0.10735E+04    0.27299E-01    0.25289E-03    0.19563E+01
    33    0.10900E+04    0.30335E-01    0.26898E-03    0.19719E+01
    34    0.11066E+04    0.33576E-01    0.28558E-03    0.19750E+01
    35    0.11234E+04    0.37026E-01    0.30269E-03    0.19682E+01
    36    0.11403E+04    0.40689E-01    0.32031E-03    0.19525E+01
    37    0.11573E+04    0.44578E-01    0.33844E-03    0.19238E+01
    38    0.11748E+04    0.48711E-01    0.35709E-03    0.18800E+01
    39    0.11926E+04    0.53098E-01    0.37624E-03    0.18241E+01
    40    0.12105E+04    0.57757E-01    0.39590E-03    0.17602E+01
    41    0.12287E+04    0.62702E-01    0.41607E-03    0.16910E+01
    42    0.12468E+04    0.67939E-01    0.43675E-03    0.16146E+01
    43    0.12651E+04    0.73468E-01    0.45794E-03    0.15283E+01
    44    0.12835E+04    0.79274E-01    0.47964E-03    0.14299E+01
    45    0.13021E+04    0.85354E-01    0.50184E-03    0.13174E+01
    46    0.13211E+04    0.91706E-01    0.52454E-03    0.11878E+01
    47    0.13402E+04    0.98327E-01    0.54776E-03    0.10424E+01
    48    0.13594E+04    0.10522E+00    0.57147E-03    0.88685E+00
    49    0.13787E+04    0.11238E+00    0.59569E-03    0.72594E+00
    50    0.13985E+04    0.11976E+00    0.62040E-03    0.55774E+00
    51    0.14185E+04    0.12734E+00    0.64562E-03    0.37856E+00
    52    0.14388E+04    0.13522E+00    0.67133E-03    0.18315E+00
    53    0.14592E+04    0.14353E+00    0.69754E-03   -0.32239E-01
    54    0.14796E+04    0.15227E+00    0.72425E-03   -0.26340E+00
    55    0.15001E+04    0.16142E+00    0.75145E-03   -0.50601E+00
    56    0.15210E+04    0.17084E+00    0.77915E-03   -0.76179E+00
    57    0.15421E+04    0.18043E+00    0.80733E-03   -0.10304E+01
    58    0.15636E+04    0.19018E+00    0.83601E-03   -0.13123E+01
    59    0.15853E+04    0.20013E+00    0.86519E-03   -0.16079E+01
