#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10812E+04    0.51421E-01    0.00000E+00    0.34793E+01    0.52683E-07    0.31620E-02   -0.16136E-04
     3    0.10214E+04    0.85936E-01    0.00000E+00    0.43485E+01    0.63998E-07    0.31761E-02   -0.19939E-04
     4    0.96139E+03    0.99214E-01    0.00000E+00    0.44912E+01    0.73636E-07    0.31111E-02   -0.20386E-04
     5    0.91409E+03    0.90748E-01    0.00000E+00    0.41954E+01    0.81970E-07    0.30141E-02   -0.18357E-04
     6    0.87942E+03    0.69417E-01    0.00000E+00    0.36863E+01    0.89210E-07    0.29050E-02   -0.14667E-04
     7    0.85541E+03    0.45806E-01    0.00000E+00    0.31080E+01    0.95554E-07    0.27943E-02   -0.10140E-04
     8    0.83947E+03    0.27120E-01    0.00000E+00    0.25495E+01    0.10114E-06    0.26834E-02   -0.55598E-05
     9    0.82979E+03    0.15759E-01    0.00000E+00    0.20589E+01    0.10608E-06    0.25716E-02   -0.15617E-05
    10    0.82500E+03    0.10539E-01    0.00000E+00    0.16640E+01    0.11046E-06    0.24617E-02    0.14784E-05
    11    0.82375E+03    0.88179E-02    0.00000E+00    0.13765E+01    0.11437E-06    0.23594E-02    0.34323E-05
    12    0.82623E+03    0.82950E-02    0.00000E+00    0.11989E+01    0.11784E-06    0.22669E-02    0.42802E-05
    13    0.83066E+03    0.76850E-02    0.00000E+00    0.11124E+01    0.12091E-06    0.21827E-02    0.41183E-05
    14    0.83607E+03    0.68371E-02    0.00000E+00    0.10929E+01    0.12365E-06    0.21048E-02    0.31204E-05
    15    0.84283E+03    0.60418E-02    0.00000E+00    0.11222E+01    0.12609E-06    0.20308E-02    0.16941E-05
    16    0.85143E+03    0.55987E-02    0.00000E+00    0.11843E+01    0.12824E-06    0.19588E-02    0.24623E-06
    17    0.86173E+03    0.56237E-02    0.00000E+00    0.12618E+01    0.13015E-06    0.18901E-02   -0.10178E-05
    18    0.87276E+03    0.59649E-02    0.00000E+00    0.13404E+01    0.13185E-06    0.18265E-02   -0.19702E-05
    19    0.88534E+03    0.64337E-02    0.00000E+00    0.14123E+01    0.13333E-06    0.17668E-02   -0.25914E-05
    20    0.89779E+03    0.69224E-02    0.00000E+00    0.14706E+01    0.13463E-06    0.17097E-02   -0.28781E-05
    21    0.91049E+03    0.74202E-02    0.00000E+00    0.15191E+01    0.13575E-06    0.16546E-02   -0.27867E-05
    22    0.92372E+03    0.80286E-02    0.00000E+00    0.15622E+01    0.13672E-06    0.16015E-02   -0.23142E-05
    23    0.93730E+03    0.88453E-02    0.00000E+00    0.16012E+01    0.13755E-06    0.15507E-02   -0.16571E-05
    24    0.95129E+03    0.99195E-02    0.00000E+00    0.16374E+01    0.13825E-06    0.15027E-02   -0.10353E-05
    25    0.96562E+03    0.11284E-01    0.00000E+00    0.16741E+01    0.13882E-06    0.14572E-02   -0.57182E-06
    26    0.98011E+03    0.12920E-01    0.00000E+00    0.17156E+01    0.13930E-06    0.14139E-02   -0.33133E-06
    27    0.99499E+03    0.14776E-01    0.00000E+00    0.17599E+01    0.13967E-06    0.13726E-02   -0.24299E-06
    28    0.10101E+04    0.16828E-01    0.00000E+00    0.18053E+01    0.13995E-06    0.13331E-02   -0.22683E-06
    29    0.10256E+04    0.19080E-01    0.00000E+00    0.18505E+01    0.14014E-06    0.12958E-02   -0.29878E-06
    30    0.10412E+04    0.21545E-01    0.00000E+00    0.18930E+01    0.14024E-06    0.12608E-02   -0.48793E-06
    31    0.10570E+04    0.24209E-01    0.00000E+00    0.19296E+01    0.14027E-06    0.12276E-02   -0.78125E-06
    32    0.10731E+04    0.27047E-01    0.00000E+00    0.19570E+01    0.14023E-06    0.11956E-02   -0.11366E-05
    33    0.10895E+04    0.30067E-01    0.00000E+00    0.19727E+01    0.14013E-06    0.11646E-02   -0.14370E-05
    34    0.11061E+04    0.33292E-01    0.00000E+00    0.19758E+01    0.13997E-06    0.11344E-02   -0.15720E-05
    35    0.11229E+04    0.36725E-01    0.00000E+00    0.19691E+01    0.13976E-06    0.11051E-02   -0.15290E-05
    36    0.11398E+04    0.40371E-01    0.00000E+00    0.19535E+01    0.13950E-06    0.10769E-02   -0.13393E-05
    37    0.11568E+04    0.44242E-01    0.00000E+00    0.19249E+01    0.13919E-06    0.10502E-02   -0.11123E-05
    38    0.11742E+04    0.48356E-01    0.00000E+00    0.18812E+01    0.13884E-06    0.10252E-02   -0.94728E-06
    39    0.11920E+04    0.52726E-01    0.00000E+00    0.18254E+01    0.13846E-06    0.10015E-02   -0.82605E-06
    40    0.12099E+04    0.57365E-01    0.00000E+00    0.17616E+01    0.13803E-06    0.97874E-03   -0.70131E-06
    41    0.12280E+04    0.62291E-01    0.00000E+00    0.16924E+01    0.13757E-06    0.95648E-03   -0.53958E-06
    42    0.12461E+04    0.67508E-01    0.00000E+00    0.16162E+01    0.13708E-06    0.93472E-03   -0.36208E-06
    43    0.12644E+04    0.73016E-01    0.00000E+00    0.15300E+01    0.13656E-06    0.91359E-03   -0.20359E-06
    44    0.12827E+04    0.78802E-01    0.00000E+00    0.14317E+01    0.13601E-06    0.89319E-03   -0.98765E-07
    45    0.13013E+04    0.84860E-01    0.00000E+00    0.13194E+01    0.13544E-06    0.87364E-03   -0.82183E-07
    46    0.13203E+04    0.91190E-01    0.00000E+00    0.11898E+01    0.13484E-06    0.85500E-03   -0.17535E-06
    47    0.13394E+04    0.97790E-01    0.00000E+00    0.10445E+01    0.13422E-06    0.83714E-03   -0.34784E-06
    48    0.13585E+04    0.10466E+00    0.00000E+00    0.88911E+00    0.13358E-06    0.81990E-03   -0.55639E-06
    49    0.13779E+04    0.11179E+00    0.00000E+00    0.72831E+00    0.13293E-06    0.80311E-03   -0.75784E-06
    50    0.13976E+04    0.11915E+00    0.00000E+00    0.56023E+00    0.13226E-06    0.78659E-03   -0.90915E-06
    51    0.14175E+04    0.12671E+00    0.00000E+00    0.38116E+00    0.13158E-06    0.77024E-03   -0.97862E-06
    52    0.14379E+04    0.13456E+00    0.00000E+00    0.18586E+00    0.13088E-06    0.75419E-03   -0.97960E-06
    53    0.14582E+04    0.14285E+00    0.00000E+00   -0.29426E-01    0.13017E-06    0.73860E-03   -0.93665E-06
    54    0.14785E+04    0.15157E+00    0.00000E+00   -0.26048E+00    0.12945E-06    0.72366E-03   -0.87427E-06
    55    0.14990E+04    0.16070E+00    0.00000E+00   -0.50299E+00    0.12872E-06    0.70954E-03   -0.81690E-06
    56    0.15199E+04    0.17009E+00    0.00000E+00   -0.75869E+00    0.12799E-06    0.69636E-03   -0.78297E-06
