#    L    TT             EE             TE             PP             TP          
     2    0.10812E+04    0.51421E-01    0.34793E+01    0.10928E+07    0.29474E+05
     3    0.10214E+04    0.85936E-01    0.43485E+01    0.16802E+07    0.35328E+05
     4    0.96139E+03    0.99214E-01    0.44912E+01    0.21996E+07    0.38122E+05
     5    0.91409E+03    0.90748E-01    0.41954E+01    0.26568E+07    0.39265E+05
     6    0.87942E+03    0.69417E-01    0.36863E+01    0.30591E+07    0.39478E+05
     7    0.85541E+03    0.45806E-01    0.31080E+01    0.34146E+07    0.39167E+05
     8    0.83947E+03    0.27120E-01    0.25495E+01    0.37298E+07    0.38511E+05
     9    0.82979E+03    0.15759E-01    0.20589E+01    0.40106E+07    0.37601E+05
    10    0.82500E+03    0.10539E-01    0.16640E+01    0.42609E+07    0.36541E+05
    11    0.82375E+03    0.88179E-02    0.13765E+01    0.44856E+07    0.35461E+05
    12    0.82623E+03    0.82950E-02    0.11989E+01    0.46864E+07    0.34428E+05
    13    0.83066E+03    0.76850E-02    0.11124E+01    0.48661E+07    0.33445E+05
    14    0.83607E+03    0.68371E-02    0.10929E+01    0.50274E+07    0.32501E+05
    15    0.84283E+03    0.60418E-02    0.11222E+01    0.51722E+07    0.31568E+05
    16    0.85143E+03    0.55987E-02    0.11843E+01    0.53021E+07    0.30628E+05
    17    0.86173E+03    0.56237E-02    0.12618E+01    0.54185E+07    0.29709E+05
    18    0.87276E+03    0.59649E-02    0.13404E+01    0.55231E+07    0.28842E+05
    19    0.88534E+03    0.64337E-02    0.14123E+01    0.56164E+07    0.28016E+05
    20    0.89779E+03    0.69224E-02    0.14706E+01    0.56993E+07    0.27212E+05
    21    0.91049E+03    0.74202E-02    0.15191E+01    0.57729E+07    0.26425E+05
    22    0.92372E+03    0.80286E-02    0.15622E+01    0.58383E+07    0.25656E+05
    23    0.93730E+03    0.88453E-02    0.16012E+01    0.58960E+07    0.24914E+05
    24    0.95129E+03    0.99195E-02    0.16374E+01    0.59466E+07    0.24205E+05
    25    0.96562E+03    0.11284E-01    0.16741E+01    0.59906E+07    0.23528E+05
    26    0.98011E+03    0.12920E-01    0.17156E+01    0.60288E+07    0.22880E+05
    27    0.99499E+03    0.14776E-01    0.17599E+01    0.60615E+07    0.22257E+05
    28    0.10101E+04    0.16828E-01    0.18053E+01    0.60892E+07    0.21659E+05
    29    0.10256E+04    0.19080E-01    0.18505E+01    0.61121E+07    0.21090E+05
    30    0.10412E+04    0.21545E-01    0.18930E+01    0.61302E+07    0.20554E+05
    31    0.10570E+04    0.24209E-01    0.19296E+01    0.61440E+07    0.20045E+05
    32    0.10731E+04    0.27047E-01    0.19570E+01    0.61543E+07    0.19551E+05
    33    0.10895E+04    0.30067E-01    0.19727E+01    0.61612E+07    0.19070E+05
    34    0.11061E+04    0.33292E-01    0.19758E+01    0.61650E+07    0.18600E+05
    35    0.11229E+04    0.36725E-01    0.19691E+01    0.61657E+07    0.18142E+05
    36    0.11398E+04    0.40371E-01    0.19535E+01    0.61637E+07    0.17699E+05
    37    0.11568E+04    0.44242E-01    0.19249E+01    0.61592E+07    0.17279E+05
    38    0.11742E+04    0.48356E-01    0.18812E+01    0.61523E+07    0.16885E+05
    39    0.11920E+04    0.52726E-01    0.18254E+01    0.61432E+07    0.16512E+05
    40    0.12099E+04    0.57365E-01    0.17616E+01    0.61321E+07    0.16151E+05
    41    0.12280E+04    0.62291E-01    0.16924E+01    0.61189E+07    0.15798E+05
    42    0.12461E+04    0.67508E-01    0.16162E+01    0.61040E+07    0.15452E+05
    43    0.12644E+04    0.73016E-01    0.15300E+01    0.60873E+07    0.15115E+05
    44    0.12827E+04    0.78802E-01    0.14317E+01    0.60691E+07    0.14789E+05
    45    0.13013E+04    0.84860E-01    0.13194E+01    0.60494E+07    0.14476E+05
    46    0.13203E+04    0.91190E-01    0.11898E+01    0.60285E+07    0.14177E+05
    47    0.13394E+04    0.97790E-01    0.10445E+01    0.60063E+07    0.13890E+05
    48    0.13585E+04    0.10466E+00    0.88911E+00    0.59830E+07    0.13613E+05
    49    0.13779E+04    0.11179E+00    0.72831E+00    0.59587E+07    0.13343E+05
    50    0.13976E+04    0.11915E+00    0.56023E+00    0.59334E+07    0.13076E+05
    51    0.14175E+04    0.12671E+00    0.38116E+00    0.59073E+07    0.12812E+05
    52    0.14379E+04    0.13456E+00    0.18586E+00    0.58803E+07    0.12552E+05
    53    0.14582E+04    0.14285E+00   -0.29426E-01    0.58527E+07    0.12299E+05
    54    0.14785E+04    0.15157E+00   -0.26048E+00    0.58243E+07    0.12056E+05
    55    0.14990E+04    0.16070E+00   -0.50299E+00    0.57953E+07    0.11827E+05
    56    0.15199E+04    0.17009E+00   -0.75869E+00    0.57658E+07    0.11613E+05
    57    0.15410E+04    0.17965E+00   -0.10272E+01    0.57357E+07    0.11412E+05
    58    0.15625E+04    0.18937E+00   -0.13090E+01    0.57051E+07    0.11221E+05
    59    0.15841E+04    0.19931E+00   -0.16045E+01    0.56740E+07    0.11037E+05
    60    0.16059E+04    0.20949E+00   -0.19126E+01    0.56425E+07    0.10856E+05
    61    0.16282E+04    0.22004E+00   -0.22323E+01    0.56106E+07    0.10677E+05
    62    0.16504E+04    0.23091E+00   -0.25647E+01    0.55783E+07    0.10499E+05
    63    0.16728E+04    0.24208E+00   -0.29113E+01    0.55458E+07    0.10323E+05
    64    0.16955E+04    0.25356E+00   -0.32736E+01    0.55129E+07    0.10148E+05
    65    0.17183E+04    0.26531E+00   -0.36526E+01    0.54799E+07    0.99755E+04
    66    0.17415E+04    0.27726E+00   -0.40468E+01    0.54467E+07    0.98056E+04
    67    0.17648E+04    0.28942E+00   -0.44531E+01    0.54134E+07    0.96393E+04
    68    0.17886E+04    0.30184E+00   -0.48695E+01    0.53800E+07    0.94780E+04
    69    0.18126E+04    0.31446E+00   -0.52940E+01    0.53464E+07    0.93227E+04
    70    0.18369E+04    0.32734E+00   -0.57279E+01    0.53128E+07    0.91747E+04
    71    0.18614E+04    0.34047E+00   -0.61734E+01    0.52792E+07    0.90347E+04
    72    0.18861E+04    0.35382E+00   -0.66318E+01    0.52456E+07    0.89018E+04
    73    0.19110E+04    0.36734E+00   -0.71039E+01    0.52119E+07    0.87749E+04
    74    0.19361E+04    0.38104E+00   -0.75890E+01    0.51781E+07    0.86525E+04
    75    0.19615E+04    0.39491E+00   -0.80856E+01    0.51444E+07    0.85334E+04
    76    0.19872E+04    0.40895E+00   -0.85933E+01    0.51106E+07    0.84164E+04
    77    0.20133E+04    0.42317E+00   -0.91120E+01    0.50769E+07    0.83012E+04
    78    0.20398E+04    0.43757E+00   -0.96429E+01    0.50431E+07    0.81875E+04
    79    0.20665E+04    0.45211E+00   -0.10182E+02    0.50094E+07    0.80750E+04
    80    0.20934E+04    0.46679E+00   -0.10732E+02    0.49758E+07    0.79634E+04
    81    0.21206E+04    0.48155E+00   -0.11292E+02    0.49422E+07    0.78526E+04
    82    0.21481E+04    0.49642E+00   -0.11861E+02    0.49088E+07    0.77430E+04
    83    0.21757E+04    0.51137E+00   -0.12439E+02    0.48754E+07    0.76352E+04
    84    0.22037E+04    0.52639E+00   -0.13024E+02    0.48422E+07    0.75298E+04
    85    0.22318E+04    0.54148E+00   -0.13616E+02    0.48090E+07    0.74274E+04
    86    0.22601E+04    0.55662E+00   -0.14216E+02    0.47761E+07    0.73285E+04
    87    0.22889E+04    0.57181E+00   -0.14821E+02    0.47432E+07    0.72328E+04
    88    0.23177E+04    0.58704E+00   -0.15432E+02    0.47105E+07    0.71401E+04
    89    0.23469E+04    0.60230E+00   -0.16051E+02    0.46780E+07    0.70500E+04
    90    0.23763E+04    0.61756E+00   -0.16675E+02    0.46457E+07    0.69622E+04
    91    0.24058E+04    0.63281E+00   -0.17304E+02    0.46135E+07    0.68764E+04
    92    0.24357E+04    0.64803E+00   -0.17939E+02    0.45815E+07    0.67926E+04
    93    0.24659E+04    0.66321E+00   -0.18578E+02    0.45497E+07    0.67108E+04
    94    0.24961E+04    0.67832E+00   -0.19220E+02    0.45181E+07    0.66307E+04
    95    0.25267E+04    0.69335E+00   -0.19867E+02    0.44866E+07    0.65524E+04
    96    0.25572E+04    0.70830E+00   -0.20517E+02    0.44554E+07    0.64758E+04
    97    0.25883E+04    0.72314E+00   -0.21170E+02    0.44243E+07    0.64010E+04
    98    0.26195E+04    0.73788E+00   -0.21823E+02    0.43934E+07    0.63277E+04
    99    0.26509E+04    0.75246E+00   -0.22479E+02    0.43628E+07    0.62559E+04
   100    0.26826E+04    0.76690E+00   -0.23134E+02    0.43323E+07    0.61857E+04
   101    0.27144E+04    0.78125E+00   -0.23792E+02    0.43020E+07    0.61169E+04
   102    0.27468E+04    0.79536E+00   -0.24449E+02    0.42719E+07    0.60495E+04
   103    0.27791E+04    0.80931E+00   -0.25106E+02    0.42420E+07    0.59835E+04
   104    0.28116E+04    0.82310E+00   -0.25761E+02    0.42124E+07    0.59187E+04
   105    0.28443E+04    0.83665E+00   -0.26414E+02    0.41829E+07    0.58551E+04
   106    0.28772E+04    0.85004E+00   -0.27066E+02    0.41536E+07    0.57927E+04
   107    0.29101E+04    0.86311E+00   -0.27715E+02    0.41246E+07    0.57314E+04
   108    0.29434E+04    0.87595E+00   -0.28361E+02    0.40958E+07    0.56711E+04
   109    0.29768E+04    0.88848E+00   -0.29003E+02    0.40672E+07    0.56119E+04
   110    0.30104E+04    0.90069E+00   -0.29640E+02    0.40388E+07    0.55535E+04
   111    0.30440E+04    0.91267E+00   -0.30272E+02    0.40106E+07    0.54961E+04
   112    0.30779E+04    0.92434E+00   -0.30900E+02    0.39827E+07    0.54395E+04
   113    0.31120E+04    0.93569E+00   -0.31521E+02    0.39550E+07    0.53839E+04
   114    0.31462E+04    0.94666E+00   -0.32135E+02    0.39275E+07    0.53290E+04
   115    0.31806E+04    0.95739E+00   -0.32742E+02    0.39002E+07    0.52750E+04
   116    0.32150E+04    0.96766E+00   -0.33341E+02    0.38731E+07    0.52219E+04
   117    0.32498E+04    0.97755E+00   -0.33932E+02    0.38463E+07    0.51696E+04
   118    0.32847E+04    0.98720E+00   -0.34514E+02    0.38197E+07    0.51181E+04
   119    0.33196E+04    0.99646E+00   -0.35086E+02    0.37933E+07    0.50674E+04
   120    0.33547E+04    0.10052E+01   -0.35648E+02    0.37671E+07    0.50175E+04
   121    0.33897E+04    0.10137E+01   -0.36199E+02    0.37412E+07    0.49685E+04
   122    0.34249E+04    0.10216E+01   -0.36739E+02    0.37154E+07    0.49202E+04
   123    0.34601E+04    0.10291E+01   -0.37268E+02    0.36899E+07    0.48727E+04
   124    0.34954E+04    0.10363E+01   -0.37782E+02    0.36646E+07    0.48260E+04
   125    0.35308E+04    0.10429E+01   -0.38285E+02    0.36395E+07    0.47800E+04
   126    0.35662E+04    0.10492E+01   -0.38775E+02    0.36146E+07    0.47348E+04
   127    0.36016E+04    0.10549E+01   -0.39251E+02    0.35899E+07    0.46904E+04
   128    0.36370E+04    0.10603E+01   -0.39713E+02    0.35655E+07    0.46467E+04
   129    0.36724E+04    0.10651E+01   -0.40159E+02    0.35413E+07    0.46038E+04
   130    0.37079E+04    0.10694E+01   -0.40590E+02    0.35172E+07    0.45615E+04
   131    0.37434E+04    0.10733E+01   -0.41006E+02    0.34934E+07    0.45200E+04
   132    0.37789E+04    0.10766E+01   -0.41405E+02    0.34698E+07    0.44792E+04
   133    0.38144E+04    0.10795E+01   -0.41788E+02    0.34464E+07    0.44391E+04
   134    0.38499E+04    0.10820E+01   -0.42152E+02    0.34233E+07    0.43996E+04
   135    0.38854E+04    0.10839E+01   -0.42499E+02    0.34003E+07    0.43607E+04
   136    0.39207E+04    0.10853E+01   -0.42825E+02    0.33775E+07    0.43225E+04
   137    0.39560E+04    0.10863E+01   -0.43134E+02    0.33549E+07    0.42848E+04
   138    0.39912E+04    0.10867E+01   -0.43423E+02    0.33326E+07    0.42477E+04
   139    0.40262E+04    0.10868E+01   -0.43691E+02    0.33104E+07    0.42111E+04
   140    0.40613E+04    0.10862E+01   -0.43940E+02    0.32884E+07    0.41750E+04
   141    0.40962E+04    0.10851E+01   -0.44167E+02    0.32666E+07    0.41394E+04
   142    0.41310E+04    0.10836E+01   -0.44373E+02    0.32451E+07    0.41043E+04
   143    0.41658E+04    0.10817E+01   -0.44558E+02    0.32237E+07    0.40696E+04
   144    0.42003E+04    0.10792E+01   -0.44721E+02    0.32025E+07    0.40354E+04
   145    0.42347E+04    0.10763E+01   -0.44861E+02    0.31815E+07    0.40015E+04
   146    0.42692E+04    0.10729E+01   -0.44979E+02    0.31606E+07    0.39680E+04
   147    0.43033E+04    0.10691E+01   -0.45073E+02    0.31400E+07    0.39349E+04
   148    0.43372E+04    0.10648E+01   -0.45145E+02    0.31195E+07    0.39021E+04
   149    0.43710E+04    0.10600E+01   -0.45192E+02    0.30993E+07    0.38696E+04
   150    0.44046E+04    0.10549E+01   -0.45213E+02    0.30792E+07    0.38374E+04
   151    0.44379E+04    0.10493E+01   -0.45211E+02    0.30593E+07    0.38054E+04
   152    0.44710E+04    0.10433E+01   -0.45185E+02    0.30396E+07    0.37737E+04
   153    0.45039E+04    0.10368E+01   -0.45131E+02    0.30200E+07    0.37423E+04
   154    0.45366E+04    0.10301E+01   -0.45053E+02    0.30006E+07    0.37111E+04
   155    0.45691E+04    0.10229E+01   -0.44949E+02    0.29814E+07    0.36802E+04
   156    0.46011E+04    0.10154E+01   -0.44820E+02    0.29624E+07    0.36496E+04
   157    0.46331E+04    0.10076E+01   -0.44663E+02    0.29435E+07    0.36192E+04
   158    0.46647E+04    0.99948E+00   -0.44481E+02    0.29248E+07    0.35891E+04
   159    0.46961E+04    0.99095E+00   -0.44272E+02    0.29063E+07    0.35593E+04
   160    0.47272E+04    0.98214E+00   -0.44036E+02    0.28880E+07    0.35297E+04
   161    0.47580E+04    0.97313E+00   -0.43773E+02    0.28698E+07    0.35005E+04
   162    0.47885E+04    0.96379E+00   -0.43484E+02    0.28517E+07    0.34715E+04
   163    0.48189E+04    0.95417E+00   -0.43167E+02    0.28339E+07    0.34428E+04
   164    0.48487E+04    0.94437E+00   -0.42824E+02    0.28162E+07    0.34143E+04
   165    0.48784E+04    0.93430E+00   -0.42452E+02    0.27986E+07    0.33862E+04
   166    0.49078E+04    0.92412E+00   -0.42054E+02    0.27813E+07    0.33583E+04
   167    0.49369E+04    0.91360E+00   -0.41629E+02    0.27640E+07    0.33308E+04
   168    0.49655E+04    0.90313E+00   -0.41175E+02    0.27470E+07    0.33035E+04
   169    0.49938E+04    0.89239E+00   -0.40693E+02    0.27301E+07    0.32765E+04
   170    0.50218E+04    0.88163E+00   -0.40184E+02    0.27133E+07    0.32498E+04
   171    0.50492E+04    0.87083E+00   -0.39645E+02    0.26967E+07    0.32234E+04
   172    0.50763E+04    0.85994E+00   -0.39079E+02    0.26803E+07    0.31974E+04
   173    0.51028E+04    0.84894E+00   -0.38485E+02    0.26640E+07    0.31716E+04
   174    0.51291E+04    0.83814E+00   -0.37863E+02    0.26478E+07    0.31461E+04
   175    0.51549E+04    0.82724E+00   -0.37212E+02    0.26318E+07    0.31209E+04
   176    0.51801E+04    0.81646E+00   -0.36533E+02    0.26159E+07    0.30960E+04
   177    0.52049E+04    0.80575E+00   -0.35826E+02    0.26002E+07    0.30714E+04
   178    0.52292E+04    0.79531E+00   -0.35091E+02    0.25846E+07    0.30471E+04
   179    0.52531E+04    0.78486E+00   -0.34328E+02    0.25692E+07    0.30231E+04
   180    0.52766E+04    0.77462E+00   -0.33537E+02    0.25539E+07    0.29994E+04
   181    0.52995E+04    0.76459E+00   -0.32720E+02    0.25388E+07    0.29760E+04
   182    0.53219E+04    0.75485E+00   -0.31874E+02    0.25237E+07    0.29528E+04
   183    0.53438E+04    0.74532E+00   -0.31002E+02    0.25088E+07    0.29299E+04
   184    0.53652E+04    0.73609E+00   -0.30102E+02    0.24941E+07    0.29072E+04
   185    0.53862E+04    0.72731E+00   -0.29176E+02    0.24795E+07    0.28848E+04
   186    0.54063E+04    0.71883E+00   -0.28223E+02    0.24650E+07    0.28626E+04
   187    0.54262E+04    0.71080E+00   -0.27242E+02    0.24506E+07    0.28406E+04
   188    0.54455E+04    0.70321E+00   -0.26237E+02    0.24364E+07    0.28189E+04
   189    0.54642E+04    0.69609E+00   -0.25205E+02    0.24223E+07    0.27974E+04
   190    0.54827E+04    0.68950E+00   -0.24149E+02    0.24083E+07    0.27761E+04
   191    0.55003E+04    0.68347E+00   -0.23065E+02    0.23945E+07    0.27550E+04
   192    0.55175E+04    0.67802E+00   -0.21956E+02    0.23807E+07    0.27342E+04
   193    0.55340E+04    0.67319E+00   -0.20824E+02    0.23671E+07    0.27135E+04
   194    0.55501E+04    0.66902E+00   -0.19666E+02    0.23536E+07    0.26930E+04
   195    0.55656E+04    0.66555E+00   -0.18485E+02    0.23402E+07    0.26726E+04
   196    0.55804E+04    0.66282E+00   -0.17280E+02    0.23270E+07    0.26525E+04
   197    0.55948E+04    0.66087E+00   -0.16052E+02    0.23138E+07    0.26325E+04
   198    0.56086E+04    0.65973E+00   -0.14801E+02    0.23008E+07    0.26127E+04
   199    0.56219E+04    0.65944E+00   -0.13527E+02    0.22879E+07    0.25930E+04
   200    0.56346E+04    0.66002E+00   -0.12232E+02    0.22751E+07    0.25735E+04
   201    0.56466E+04    0.66155E+00   -0.10914E+02    0.22624E+07    0.25541E+04
   202    0.56581E+04    0.66403E+00   -0.95759E+01    0.22498E+07    0.25349E+04
   203    0.56690E+04    0.66752E+00   -0.82157E+01    0.22373E+07    0.25158E+04
   204    0.56791E+04    0.67203E+00   -0.68370E+01    0.22249E+07    0.24968E+04
   205    0.56888E+04    0.67763E+00   -0.54376E+01    0.22126E+07    0.24780E+04
   206    0.56977E+04    0.68433E+00   -0.40187E+01    0.22005E+07    0.24593E+04
   207    0.57060E+04    0.69217E+00   -0.25808E+01    0.21884E+07    0.24407E+04
   208    0.57136E+04    0.70120E+00   -0.11246E+01    0.21764E+07    0.24223E+04
   209    0.57205E+04    0.71144E+00    0.34962E+00    0.21646E+07    0.24040E+04
   210    0.57268E+04    0.72294E+00    0.18409E+01    0.21528E+07    0.23858E+04
   211    0.57325E+04    0.73573E+00    0.33491E+01    0.21412E+07    0.23678E+04
   212    0.57374E+04    0.74985E+00    0.48733E+01    0.21296E+07    0.23499E+04
   213    0.57418E+04    0.76533E+00    0.64134E+01    0.21181E+07    0.23321E+04
   214    0.57455E+04    0.78217E+00    0.79683E+01    0.21068E+07    0.23145E+04
   215    0.57485E+04    0.80056E+00    0.95371E+01    0.20955E+07    0.22970E+04
   216    0.57508E+04    0.82032E+00    0.11120E+02    0.20843E+07    0.22796E+04
   217    0.57526E+04    0.84160E+00    0.12716E+02    0.20732E+07    0.22623E+04
   218    0.57537E+04    0.86441E+00    0.14324E+02    0.20622E+07    0.22452E+04
   219    0.57542E+04    0.88873E+00    0.15946E+02    0.20513E+07    0.22282E+04
   220    0.57540E+04    0.91473E+00    0.17576E+02    0.20405E+07    0.22113E+04
   221    0.57532E+04    0.94233E+00    0.19218E+02    0.20298E+07    0.21945E+04
   222    0.57518E+04    0.97167E+00    0.20869E+02    0.20192E+07    0.21779E+04
   223    0.57497E+04    0.10027E+01    0.22531E+02    0.20086E+07    0.21614E+04
   224    0.57470E+04    0.10354E+01    0.24199E+02    0.19982E+07    0.21450E+04
   225    0.57437E+04    0.10699E+01    0.25877E+02    0.19878E+07    0.21287E+04
   226    0.57397E+04    0.11062E+01    0.27561E+02    0.19775E+07    0.21125E+04
   227    0.57350E+04    0.11444E+01    0.29251E+02    0.19673E+07    0.20965E+04
   228    0.57298E+04    0.11843E+01    0.30948E+02    0.19572E+07    0.20805E+04
   229    0.57240E+04    0.12262E+01    0.32648E+02    0.19472E+07    0.20647E+04
   230    0.57175E+04    0.12700E+01    0.34354E+02    0.19372E+07    0.20490E+04
   231    0.57103E+04    0.13157E+01    0.36063E+02    0.19274E+07    0.20334E+04
   232    0.57025E+04    0.13633E+01    0.37775E+02    0.19176E+07    0.20179E+04
   233    0.56942E+04    0.14131E+01    0.39488E+02    0.19079E+07    0.20025E+04
