#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10812E+04    0.34793E+01    0.12909E-02    0.34793E+01    0.51421E-01   -0.65874E-05    0.12909E-02   -0.65874E-05    0.87804E-08
     3    0.10214E+04    0.43485E+01    0.91688E-03    0.43485E+01    0.85936E-01   -0.57559E-05    0.91688E-03   -0.57559E-05    0.53331E-08
     4    0.96139E+03    0.44912E+01    0.69566E-03    0.44912E+01    0.99214E-01   -0.45585E-05    0.69566E-03   -0.45585E-05    0.36818E-08
     5    0.91409E+03    0.41954E+01    0.55030E-03    0.41954E+01    0.90748E-01   -0.33516E-05    0.55030E-03   -0.33516E-05    0.27323E-08
     6    0.87942E+03    0.36863E+01    0.44825E-03    0.36863E+01    0.69417E-01   -0.22632E-05    0.44825E-03   -0.22632E-05    0.21240E-08
     7    0.85541E+03    0.31080E+01    0.37341E-03    0.31080E+01    0.45806E-01   -0.13551E-05    0.37341E-03   -0.13551E-05    0.17063E-08
     8    0.83947E+03    0.25495E+01    0.31624E-03    0.25495E+01    0.27120E-01   -0.65523E-06    0.31624E-03   -0.65523E-06    0.14047E-08
     9    0.82979E+03    0.20589E+01    0.27108E-03    0.20589E+01    0.15759E-01   -0.16462E-06    0.27108E-03   -0.16462E-06    0.11787E-08
    10    0.82500E+03    0.16640E+01    0.23472E-03    0.16640E+01    0.10539E-01    0.14096E-06    0.23472E-03    0.14096E-06    0.10042E-08
    11    0.82375E+03    0.13765E+01    0.20536E-03    0.13765E+01    0.88179E-02    0.29874E-06    0.20536E-03    0.29874E-06    0.86646E-09
    12    0.82623E+03    0.11989E+01    0.18147E-03    0.11989E+01    0.82950E-02    0.34319E-06    0.18147E-03    0.34319E-06    0.75526E-09
    13    0.83066E+03    0.11124E+01    0.16179E-03    0.11124E+01    0.76850E-02    0.30527E-06    0.16179E-03    0.30527E-06    0.66437E-09
    14    0.83607E+03    0.10929E+01    0.14524E-03    0.10929E+01    0.68371E-02    0.21602E-06    0.14524E-03    0.21602E-06    0.58880E-09
    15    0.84283E+03    0.11222E+01    0.13109E-03    0.11222E+01    0.60418E-02    0.10935E-06    0.13109E-03    0.10935E-06    0.52535E-09
    16    0.85143E+03    0.11843E+01    0.11877E-03    0.11843E+01    0.55987E-02    0.14816E-07    0.11877E-03    0.14816E-07    0.47146E-09
    17    0.86173E+03    0.12618E+01    0.10805E-03    0.12618E+01    0.56237E-02   -0.58181E-07    0.10805E-03   -0.58181E-07    0.42534E-09
    18    0.87276E+03    0.13404E+01    0.98762E-04    0.13404E+01    0.59649E-02   -0.10662E-06    0.98762E-04   -0.10662E-06    0.38551E-09
    19    0.88534E+03    0.14123E+01    0.90637E-04    0.14123E+01    0.64337E-02   -0.13294E-06    0.90637E-04   -0.13294E-06    0.35088E-09
    20    0.89779E+03    0.14706E+01    0.83423E-04    0.14706E+01    0.69224E-02   -0.14033E-06    0.83423E-04   -0.14033E-06    0.32053E-09
    21    0.91049E+03    0.15191E+01    0.76978E-04    0.15191E+01    0.74202E-02   -0.12965E-06    0.76978E-04   -0.12965E-06    0.29382E-09
    22    0.92372E+03    0.15622E+01    0.71194E-04    0.15622E+01    0.80286E-02   -0.10309E-06    0.71194E-04   -0.10309E-06    0.27019E-09
    23    0.93730E+03    0.16012E+01    0.66004E-04    0.16012E+01    0.88453E-02   -0.70531E-07    0.66004E-04   -0.70531E-07    0.24918E-09
    24    0.95129E+03    0.16374E+01    0.61346E-04    0.16374E+01    0.99195E-02   -0.42264E-07    0.61346E-04   -0.42264E-07    0.23041E-09
