#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105163E-04   0.336705E+07   0.336705E+07   0.448904E+07   0.448903E+07   0.336725E+07   0.336706E+07   0.336705E+07   0.337549E+07  -0.599866E+00   0.335531E+07   0.335531E+07   0.926168E+01
   0.116112E-04   0.336705E+07   0.336705E+07   0.448896E+07   0.448895E+07   0.336725E+07   0.336705E+07   0.336705E+07   0.337549E+07  -0.599866E+00   0.335531E+07   0.335531E+07   0.102258E+02
   0.128200E-04   0.336704E+07   0.336704E+07   0.448887E+07   0.448886E+07   0.336725E+07   0.336705E+07   0.336704E+07   0.337549E+07  -0.599865E+00   0.335531E+07   0.335531E+07   0.112903E+02
   0.141547E-04   0.336704E+07   0.336704E+07   0.448875E+07   0.448874E+07   0.336725E+07   0.336705E+07   0.336704E+07   0.337549E+07  -0.599865E+00   0.335531E+07   0.335531E+07   0.124656E+02
   0.156284E-04   0.336704E+07   0.336704E+07   0.448861E+07   0.448859E+07   0.336725E+07   0.336705E+07   0.336704E+07   0.337549E+07  -0.599865E+00   0.335531E+07   0.335531E+07   0.137632E+02
   0.172555E-04   0.336704E+07   0.336704E+07   0.448844E+07   0.448841E+07   0.336725E+07   0.336705E+07   0.336704E+07   0.337548E+07  -0.599865E+00   0.335531E+07   0.335531E+07   0.151957E+02
   0.190520E-04   0.336704E+07   0.336704E+07   0.448823E+07   0.448820E+07   0.336725E+07   0.336705E+07   0.336704E+07   0.337548E+07  -0.599864E+00   0.335531E+07   0.335531E+07   0.167774E+02
   0.210355E-04   0.336704E+07   0.336704E+07   0.448797E+07   0.448794E+07   0.336724E+07   0.336705E+07   0.336704E+07   0.337548E+07  -0.599864E+00   0.335530E+07   0.335530E+07   0.185235E+02
   0.232256E-04   0.336704E+07   0.336704E+07   0.448766E+07   0.448762E+07   0.336724E+07   0.336704E+07   0.336704E+07   0.337548E+07  -0.599863E+00   0.335530E+07   0.335530E+07   0.204512E+02
   0.256436E-04   0.336703E+07   0.336703E+07   0.448728E+07   0.448722E+07   0.336724E+07   0.336704E+07   0.336703E+07   0.337547E+07  -0.599863E+00   0.335530E+07   0.335530E+07   0.225793E+02
