#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102819E-04   0.237193E+07   0.237193E+07   0.316239E+07   0.316239E+07   0.000000E+00   0.237193E+07   0.237193E+07   0.238115E+07  -0.600414E+00   0.236679E+07   0.236679E+07   0.299653E+01
   0.113644E-04   0.237193E+07   0.237193E+07   0.316235E+07   0.316235E+07   0.000000E+00   0.237193E+07   0.237193E+07   0.238115E+07  -0.600414E+00   0.236679E+07   0.236679E+07   0.331196E+01
   0.125608E-04   0.237193E+07   0.237193E+07   0.316230E+07   0.316230E+07   0.000000E+00   0.237193E+07   0.237193E+07   0.238115E+07  -0.600414E+00   0.236679E+07   0.236679E+07   0.366060E+01
   0.138832E-04   0.237193E+07   0.237193E+07   0.316224E+07   0.316224E+07   0.000000E+00   0.237193E+07   0.237193E+07   0.238115E+07  -0.600413E+00   0.236679E+07   0.236679E+07   0.404593E+01
   0.153447E-04   0.237193E+07   0.237193E+07   0.316217E+07   0.316216E+07   0.000000E+00   0.237193E+07   0.237193E+07   0.238115E+07  -0.600413E+00   0.236679E+07   0.236679E+07   0.447180E+01
   0.169602E-04   0.237193E+07   0.237193E+07   0.316208E+07   0.316207E+07   0.000000E+00   0.237193E+07   0.237193E+07   0.238115E+07  -0.600413E+00   0.236679E+07   0.236679E+07   0.494249E+01
   0.187457E-04   0.237193E+07   0.237193E+07   0.316196E+07   0.316196E+07   0.000000E+00   0.237193E+07   0.237193E+07   0.238115E+07  -0.600412E+00   0.236679E+07   0.236679E+07   0.546270E+01
   0.207192E-04   0.237192E+07   0.237192E+07   0.316183E+07   0.316182E+07   0.000000E+00   0.237192E+07   0.237192E+07   0.238114E+07  -0.600412E+00   0.236679E+07   0.236679E+07   0.603763E+01
   0.229004E-04   0.237192E+07   0.237192E+07   0.316166E+07   0.316165E+07   0.000000E+00   0.237192E+07   0.237192E+07   0.238114E+07  -0.600411E+00   0.236678E+07   0.236678E+07   0.667303E+01
   0.253113E-04   0.237192E+07   0.237192E+07   0.316146E+07   0.316144E+07   0.000000E+00   0.237192E+07   0.237192E+07   0.238114E+07  -0.600411E+00   0.236678E+07   0.236678E+07   0.737525E+01
   0.279760E-04   0.237192E+07   0.237192E+07   0.316121E+07   0.316119E+07   0.000000E+00   0.237192E+07   0.237192E+07   0.238114E+07  -0.600410E+00   0.236678E+07   0.236678E+07   0.815129E+01
   0.309213E-04   0.237192E+07   0.237192E+07   0.316091E+07   0.316089E+07   0.000000E+00   0.237192E+07   0.237192E+07   0.238113E+07  -0.600409E+00   0.236678E+07   0.236678E+07   0.900888E+01
   0.341766E-04   0.237191E+07   0.237191E+07   0.316054E+07   0.316051E+07   0.000000E+00   0.237191E+07   0.237191E+07   0.238113E+07  -0.600407E+00   0.236677E+07   0.236677E+07   0.995657E+01
   0.377746E-04   0.237191E+07   0.237191E+07   0.316009E+07   0.316005E+07   0.000000E+00   0.237191E+07   0.237191E+07   0.238112E+07  -0.600406E+00   0.236677E+07   0.236677E+07   0.110038E+02
   0.417514E-04   0.237190E+07   0.237190E+07   0.315954E+07   0.315950E+07   0.000000E+00   0.237190E+07   0.237190E+07   0.238112E+07  -0.600404E+00   0.236676E+07   0.236676E+07   0.121609E+02
   0.461468E-04   0.237190E+07   0.237190E+07   0.315887E+07   0.315881E+07   0.000000E+00   0.237190E+07   0.237190E+07   0.238111E+07  -0.600402E+00   0.236676E+07   0.236676E+07   0.134393E+02
   0.510050E-04   0.237189E+07   0.237189E+07   0.315805E+07   0.315798E+07   0.000000E+00   0.237189E+07   0.237189E+07   0.238110E+07  -0.600399E+00   0.236675E+07   0.236675E+07   0.148517E+02
   0.563747E-04   0.237188E+07   0.237188E+07   0.315704E+07   0.315696E+07   0.000000E+00   0.237188E+07   0.237188E+07   0.238108E+07  -0.600396E+00   0.236674E+07   0.236674E+07   0.164119E+02
   0.623096E-04   0.237187E+07   0.237186E+07   0.315582E+07   0.315572E+07   0.000000E+00   0.237187E+07   0.237187E+07   0.238107E+07  -0.600391E+00   0.236673E+07   0.236673E+07   0.181352E+02
   0.688694E-04   0.237185E+07   0.237185E+07   0.315432E+07   0.315420E+07   0.000000E+00   0.237185E+07   0.237185E+07   0.238105E+07  -0.600386E+00   0.236671E+07   0.236671E+07   0.200384E+02
   0.761198E-04   0.237183E+07   0.237183E+07   0.315250E+07   0.315235E+07   0.000000E+00   0.237183E+07   0.237183E+07   0.238103E+07  -0.600380E+00   0.236670E+07   0.236669E+07   0.221399E+02
   0.841334E-04   0.237181E+07   0.237181E+07   0.315027E+07   0.315009E+07   0.000000E+00   0.237181E+07   0.237181E+07   0.238100E+07  -0.600372E+00   0.236667E+07   0.236667E+07   0.244597E+02
   0.929907E-04   0.237178E+07   0.237178E+07   0.314755E+07   0.314732E+07   0.000000E+00   0.237178E+07   0.237178E+07   0.238096E+07  -0.600363E+00   0.236665E+07   0.236664E+07   0.270198E+02
   0.102781E-03   0.237175E+07   0.237175E+07   0.314422E+07   0.314395E+07   0.000000E+00   0.237175E+07   0.237175E+07   0.238092E+07  -0.600352E+00   0.236662E+07   0.236661E+07   0.298444E+02
   0.113601E-03   0.237171E+07   0.237171E+07   0.314017E+07   0.313984E+07   0.000000E+00   0.237171E+07   0.237171E+07   0.238087E+07  -0.600338E+00   0.236658E+07   0.236657E+07   0.329592E+02
   0.125560E-03   0.237166E+07   0.237166E+07   0.313522E+07   0.313482E+07   0.000000E+00   0.237166E+07   0.237166E+07   0.238080E+07  -0.600321E+00   0.236653E+07   0.236652E+07   0.363926E+02
   0.138779E-03   0.237160E+07   0.237160E+07   0.312919E+07   0.312870E+07   0.000000E+00   0.237160E+07   0.237160E+07   0.238073E+07  -0.600300E+00   0.236647E+07   0.236646E+07   0.401747E+02
   0.153389E-03   0.237153E+07   0.237152E+07   0.312184E+07   0.312124E+07   0.000000E+00   0.237153E+07   0.237153E+07   0.238063E+07  -0.600275E+00   0.236640E+07   0.236639E+07   0.443378E+02
   0.169538E-03   0.237144E+07   0.237143E+07   0.311287E+07   0.311215E+07   0.000000E+00   0.237144E+07   0.237144E+07   0.238051E+07  -0.600244E+00   0.236631E+07   0.236630E+07   0.489162E+02
   0.187386E-03   0.237133E+07   0.237132E+07   0.310196E+07   0.310107E+07   0.000000E+00   0.237133E+07   0.237133E+07   0.238037E+07  -0.600206E+00   0.236620E+07   0.236619E+07   0.539454E+02
   0.207114E-03   0.237120E+07   0.237119E+07   0.308867E+07   0.308759E+07   0.000000E+00   0.237119E+07   0.237119E+07   0.238020E+07  -0.600160E+00   0.236607E+07   0.236605E+07   0.594623E+02
   0.228918E-03   0.237103E+07   0.237102E+07   0.307250E+07   0.307120E+07   0.000000E+00   0.237103E+07   0.237103E+07   0.237999E+07  -0.600104E+00   0.236591E+07   0.236589E+07   0.655039E+02
   0.253018E-03   0.237083E+07   0.237082E+07   0.305287E+07   0.305129E+07   0.000000E+00   0.237083E+07   0.237083E+07   0.237973E+07  -0.600035E+00   0.236572E+07   0.236569E+07   0.721061E+02
   0.279655E-03   0.237059E+07   0.237058E+07   0.302904E+07   0.302712E+07   0.000000E+00   0.237059E+07   0.237059E+07   0.237942E+07  -0.599952E+00   0.236548E+07   0.236544E+07   0.793023E+02
   0.309096E-03   0.237030E+07   0.237028E+07   0.300016E+07   0.299785E+07   0.000000E+00   0.237029E+07   0.237029E+07   0.237904E+07  -0.599850E+00   0.236519E+07   0.236514E+07   0.871209E+02
   0.341636E-03   0.236994E+07   0.236992E+07   0.296523E+07   0.296244E+07   0.000000E+00   0.236993E+07   0.236993E+07   0.237858E+07  -0.599726E+00   0.236484E+07   0.236478E+07   0.955818E+02
   0.377603E-03   0.236950E+07   0.236948E+07   0.292307E+07   0.291972E+07   0.000000E+00   0.236949E+07   0.236949E+07   0.237801E+07  -0.599576E+00   0.236441E+07   0.236434E+07   0.104693E+03
   0.417356E-03   0.236896E+07   0.236894E+07   0.287232E+07   0.286832E+07   0.000000E+00   0.236896E+07   0.236896E+07   0.237733E+07  -0.599393E+00   0.236388E+07   0.236380E+07   0.114442E+03
   0.461294E-03   0.236831E+07   0.236828E+07   0.281145E+07   0.280668E+07   0.000000E+00   0.236830E+07   0.236830E+07   0.237650E+07  -0.599170E+00   0.236324E+07   0.236314E+07   0.124795E+03
   0.509857E-03   0.236752E+07   0.236748E+07   0.273872E+07   0.273307E+07   0.000000E+00   0.236751E+07   0.236751E+07   0.237549E+07  -0.598901E+00   0.236246E+07   0.236234E+07   0.135679E+03
   0.563534E-03   0.236655E+07   0.236651E+07   0.265226E+07   0.264562E+07   0.000000E+00   0.236655E+07   0.236655E+07   0.237427E+07  -0.598575E+00   0.236151E+07   0.236137E+07   0.146977E+03
   0.622861E-03   0.236539E+07   0.236533E+07   0.255012E+07   0.254238E+07   0.000000E+00   0.236538E+07   0.236538E+07   0.237280E+07  -0.598182E+00   0.236036E+07   0.236019E+07   0.158511E+03
   0.688433E-03   0.236397E+07   0.236390E+07   0.243037E+07   0.242144E+07   0.000000E+00   0.236396E+07   0.236396E+07   0.237103E+07  -0.597707E+00   0.235897E+07   0.235877E+07   0.170030E+03
   0.760910E-03   0.236225E+07   0.236217E+07   0.229128E+07   0.228112E+07   0.000000E+00   0.236224E+07   0.236224E+07   0.236891E+07  -0.597137E+00   0.235727E+07   0.235704E+07   0.181191E+03
   0.841016E-03   0.236018E+07   0.236008E+07   0.213162E+07   0.212026E+07   0.000000E+00   0.236016E+07   0.236016E+07   0.236637E+07  -0.596455E+00   0.235522E+07   0.235495E+07   0.191548E+03
   0.929556E-03   0.235768E+07   0.235756E+07   0.195099E+07   0.193855E+07   0.000000E+00   0.235766E+07   0.235766E+07   0.236334E+07  -0.595640E+00   0.235275E+07   0.235243E+07   0.200544E+03
   0.102742E-02   0.235468E+07   0.235454E+07   0.175031E+07   0.173706E+07   0.000000E+00   0.235466E+07   0.235466E+07   0.235975E+07  -0.594674E+00   0.234976E+07   0.234940E+07   0.207518E+03
   0.113558E-02   0.235109E+07   0.235091E+07   0.153238E+07   0.151877E+07   0.000000E+00   0.235106E+07   0.235106E+07   0.235551E+07  -0.593533E+00   0.234618E+07   0.234577E+07   0.211728E+03
   0.125513E-02   0.234680E+07   0.234659E+07   0.130246E+07   0.128912E+07   0.000000E+00   0.234676E+07   0.234676E+07   0.235055E+07  -0.592195E+00   0.234190E+07   0.234144E+07   0.212417E+03
   0.138727E-02   0.234170E+07   0.234146E+07   0.106869E+07   0.105643E+07   0.000000E+00   0.234166E+07   0.234166E+07   0.234476E+07  -0.590637E+00   0.233679E+07   0.233630E+07   0.208915E+03
   0.153331E-02   0.233568E+07   0.233538E+07   0.842108E+06   0.831803E+06   0.000000E+00   0.233563E+07   0.233563E+07   0.233807E+07  -0.588835E+00   0.233074E+07   0.233021E+07   0.200799E+03
   0.169474E-02   0.232860E+07   0.232825E+07   0.635894E+06   0.628329E+06   0.000000E+00   0.232854E+07   0.232854E+07   0.233039E+07  -0.586769E+00   0.232360E+07   0.232305E+07   0.188093E+03
   0.187315E-02   0.232033E+07   0.231992E+07   0.463502E+06   0.459078E+06   0.000000E+00   0.232026E+07   0.232026E+07   0.232161E+07  -0.584420E+00   0.231523E+07   0.231468E+07   0.171483E+03
   0.207035E-02   0.231074E+07   0.231025E+07   0.335434E+06   0.333850E+06   0.000000E+00   0.231066E+07   0.231066E+07   0.231163E+07  -0.581767E+00   0.230551E+07   0.230497E+07   0.152442E+03
   0.228831E-02   0.229969E+07   0.229911E+07   0.255140E+06   0.255187E+06   0.000000E+00   0.229959E+07   0.229959E+07   0.230034E+07  -0.578789E+00   0.229429E+07   0.229377E+07   0.133163E+03
   0.252922E-02   0.228705E+07   0.228635E+07   0.215554E+06   0.215274E+06   0.000000E+00   0.228694E+07   0.228694E+07   0.228756E+07  -0.575458E+00   0.228145E+07   0.228095E+07   0.116135E+03
   0.279549E-02   0.227268E+07   0.227185E+07   0.198975E+06   0.196435E+06   0.000000E+00   0.227255E+07   0.227255E+07   0.227312E+07  -0.571737E+00   0.226687E+07   0.226638E+07   0.103322E+03
   0.308979E-02   0.225645E+07   0.225544E+07   0.183129E+06   0.177678E+06   0.000000E+00   0.225628E+07   0.225628E+07   0.225681E+07  -0.567578E+00   0.225044E+07   0.224994E+07   0.951786E+02
   0.341507E-02   0.223820E+07   0.223698E+07   0.153160E+06   0.146354E+06   0.000000E+00   0.223799E+07   0.223799E+07   0.223843E+07  -0.562925E+00   0.223202E+07   0.223149E+07   0.901350E+02
   0.377460E-02   0.221776E+07   0.221629E+07   0.112514E+06   0.107308E+06   0.000000E+00   0.221752E+07   0.221752E+07   0.221784E+07  -0.557725E+00   0.221145E+07   0.221090E+07   0.853619E+02
   0.417198E-02   0.219497E+07   0.219320E+07   0.799941E+05   0.777998E+05   0.000000E+00   0.219467E+07   0.219467E+07   0.219490E+07  -0.551932E+00   0.218856E+07   0.218800E+07   0.789377E+02
   0.461119E-02   0.216965E+07   0.216751E+07   0.682059E+05   0.666742E+05   0.000000E+00   0.216929E+07   0.216929E+07   0.216949E+07  -0.545510E+00   0.216315E+07   0.216258E+07   0.717557E+02
   0.509664E-02   0.214162E+07   0.213905E+07   0.649872E+05   0.561013E+05   0.000000E+00   0.214119E+07   0.214119E+07   0.214137E+07  -0.538419E+00   0.213503E+07   0.213446E+07   0.664322E+02
   0.563320E-02   0.211072E+07   0.210761E+07   0.512649E+05   0.452672E+05   0.000000E+00   0.211020E+07   0.211020E+07   0.211034E+07  -0.530605E+00   0.210406E+07   0.210345E+07   0.634565E+02
   0.622625E-02   0.207676E+07   0.207301E+07   0.355011E+05   0.364628E+05   0.000000E+00   0.207613E+07   0.207613E+07   0.207624E+07  -0.522020E+00   0.207004E+07   0.206940E+07   0.603942E+02
   0.688173E-02   0.203956E+07   0.203505E+07   0.329351E+05   0.293143E+05   0.000000E+00   0.203881E+07   0.203881E+07   0.203890E+07  -0.512620E+00   0.203278E+07   0.203211E+07   0.567630E+02
   0.760622E-02   0.199895E+07   0.199353E+07   0.277704E+05   0.235185E+05   0.000000E+00   0.199804E+07   0.199804E+07   0.199812E+07  -0.502360E+00   0.199210E+07   0.199139E+07   0.546223E+02
   0.840698E-02   0.195473E+07   0.194823E+07   0.191969E+05   0.188256E+05   0.000000E+00   0.195365E+07   0.195365E+07   0.195371E+07  -0.491189E+00   0.194781E+07   0.194705E+07   0.529790E+02
   0.929204E-02   0.190675E+07   0.189896E+07   0.186200E+05   0.150308E+05   0.000000E+00   0.190545E+07   0.190545E+07   0.190550E+07  -0.479062E+00   0.189974E+07   0.189893E+07   0.512225E+02
   0.102703E-01   0.185480E+07   0.184550E+07   0.127317E+05   0.119674E+05   0.000000E+00   0.185325E+07   0.185325E+07   0.185329E+07  -0.465933E+00   0.184769E+07   0.184680E+07   0.503839E+02
   0.113515E-01   0.179872E+07   0.178765E+07   0.119429E+05   0.949849E+04   0.000000E+00   0.179688E+07   0.179688E+07   0.179691E+07  -0.451755E+00   0.179148E+07   0.179052E+07   0.494792E+02
   0.125466E-01   0.173834E+07   0.172522E+07   0.828933E+04   0.751265E+04   0.000000E+00   0.173615E+07   0.173615E+07   0.173618E+07  -0.436485E+00   0.173095E+07   0.172990E+07   0.490942E+02
   0.138674E-01   0.167352E+07   0.165804E+07   0.691082E+04   0.591870E+04   0.000000E+00   0.167094E+07   0.167094E+07   0.167096E+07  -0.420087E+00   0.166594E+07   0.166478E+07   0.487707E+02
   0.153273E-01   0.160415E+07   0.158599E+07   0.605805E+04   0.464242E+04   0.000000E+00   0.160112E+07   0.160112E+07   0.160114E+07  -0.402531E+00   0.159635E+07   0.159508E+07   0.485630E+02
   0.169409E-01   0.153018E+07   0.150905E+07   0.437801E+04   0.362339E+04   0.000000E+00   0.152666E+07   0.152666E+07   0.152667E+07  -0.383810E+00   0.152213E+07   0.152073E+07   0.484082E+02
   0.187244E-01   0.145170E+07   0.142731E+07   0.321055E+04   0.281241E+04   0.000000E+00   0.144764E+07   0.144764E+07   0.144765E+07  -0.363942E+00   0.144337E+07   0.144183E+07   0.481288E+02
   0.206957E-01   0.136894E+07   0.134110E+07   0.259910E+04   0.216954E+04   0.000000E+00   0.136430E+07   0.136430E+07   0.136431E+07  -0.342989E+00   0.136031E+07   0.135863E+07   0.475919E+02
   0.228745E-01   0.128237E+07   0.125101E+07   0.234783E+04   0.166239E+04   0.000000E+00   0.127714E+07   0.127714E+07   0.127715E+07  -0.321076E+00   0.127344E+07   0.127162E+07   0.466552E+02
   0.252826E-01   0.119278E+07   0.115804E+07   0.142113E+04   0.126466E+04   0.000000E+00   0.118699E+07   0.118699E+07   0.118700E+07  -0.298412E+00   0.118360E+07   0.118165E+07   0.451740E+02
   0.279443E-01   0.110139E+07   0.106367E+07   0.109603E+04   0.955016E+03   0.000000E+00   0.109510E+07   0.109510E+07   0.109511E+07  -0.275311E+00   0.109201E+07   0.108996E+07   0.429567E+02
   0.308862E-01   0.100987E+07   0.969918E+06   0.821251E+03   0.716102E+03   0.000000E+00   0.100321E+07   0.100321E+07   0.100321E+07  -0.252208E+00   0.100041E+07   0.998307E+06   0.398965E+02
   0.341378E-01   0.920340E+06   0.879330E+06   0.582447E+03   0.533737E+03   0.000000E+00   0.913505E+06   0.913505E+06   0.913506E+06  -0.229656E+00   0.910983E+06   0.908892E+06   0.359180E+02
   0.377317E-01   0.835278E+06   0.794766E+06   0.506560E+03   0.396246E+03   0.000000E+00   0.828526E+06   0.828526E+06   0.828527E+06  -0.208292E+00   0.826255E+06   0.824256E+06   0.310512E+02
   0.417040E-01   0.757169E+06   0.719011E+06   0.374715E+03   0.293933E+03   0.000000E+00   0.750809E+06   0.750809E+06   0.750810E+06  -0.188754E+00   0.748751E+06   0.746938E+06   0.254785E+02
   0.458744E-01   0.690829E+06   0.656678E+06   0.264897E+03   0.221684E+03   0.000000E+00   0.685137E+06   0.685137E+06   0.685138E+06  -0.172243E+00   0.683241E+06   0.681688E+06   0.198419E+02
   0.500448E-01   0.638458E+06   0.609220E+06   0.205862E+03   0.172276E+03   0.000000E+00   0.633585E+06   0.633585E+06   0.633585E+06  -0.159283E+00   0.631803E+06   0.630539E+06   0.148032E+02
   0.542152E-01   0.596141E+06   0.572007E+06   0.163952E+03   0.137200E+03   0.000000E+00   0.592119E+06   0.592119E+06   0.592119E+06  -0.148859E+00   0.590420E+06   0.589437E+06   0.106332E+02
   0.583856E-01   0.560812E+06   0.541335E+06   0.133136E+03   0.111409E+03   0.000000E+00   0.557566E+06   0.557566E+06   0.557566E+06  -0.140172E+00   0.555936E+06   0.555193E+06   0.746433E+01
   0.625560E-01   0.529849E+06   0.514112E+06   0.109678E+03   0.917767E+02   0.000000E+00   0.527226E+06   0.527226E+06   0.527226E+06  -0.132544E+00   0.525662E+06   0.525097E+06   0.529741E+01
   0.667264E-01   0.501031E+06   0.487855E+06   0.912112E+02   0.763233E+02   0.000000E+00   0.498835E+06   0.498835E+06   0.498835E+06  -0.125407E+00   0.497342E+06   0.496884E+06   0.402700E+01
   0.708968E-01   0.472938E+06   0.461101E+06   0.762829E+02   0.638316E+02   0.000000E+00   0.470965E+06   0.470965E+06   0.470965E+06  -0.118400E+00   0.469554E+06   0.469133E+06   0.347489E+01
   0.750672E-01   0.444959E+06   0.433387E+06   0.640041E+02   0.535574E+02   0.000000E+00   0.443030E+06   0.443030E+06   0.443030E+06  -0.111378E+00   0.441710E+06   0.441271E+06   0.342503E+01
   0.792376E-01   0.417184E+06   0.405096E+06   0.538272E+02   0.450424E+02   0.000000E+00   0.415170E+06   0.415170E+06   0.415170E+06  -0.104373E+00   0.413946E+06   0.413452E+06   0.365738E+01
   0.834080E-01   0.390148E+06   0.377124E+06   0.453923E+02   0.379849E+02   0.000000E+00   0.387977E+06   0.387977E+06   0.387978E+06  -0.975373E-01   0.386851E+06   0.386285E+06   0.397658E+01
   0.875784E-01   0.364516E+06   0.350503E+06   0.384300E+02   0.321595E+02   0.000000E+00   0.362181E+06   0.362181E+06   0.362181E+06  -0.910520E-01   0.361146E+06   0.360514E+06   0.423226E+01
   0.927733E-01   0.335523E+06   0.320666E+06   0.314878E+02   0.263508E+02   0.000000E+00   0.333047E+06   0.333047E+06   0.333047E+06  -0.837277E-01   0.332112E+06   0.331428E+06   0.432294E+01
   0.979682E-01   0.310747E+06   0.295816E+06   0.261335E+02   0.218703E+02   0.000000E+00   0.308259E+06   0.308259E+06   0.308259E+06  -0.774960E-01   0.307402E+06   0.306716E+06   0.410513E+01
   0.103163E+00   0.290688E+06   0.276546E+06   0.220444E+02   0.184483E+02   0.000000E+00   0.288331E+06   0.288331E+06   0.288331E+06  -0.724863E-01   0.287530E+06   0.286893E+06   0.362020E+01
   0.108358E+00   0.274975E+06   0.262322E+06   0.189112E+02   0.158259E+02   0.000000E+00   0.272866E+06   0.272866E+06   0.272866E+06  -0.685984E-01   0.272099E+06   0.271549E+06   0.297683E+01
   0.113553E+00   0.262489E+06   0.251694E+06   0.164541E+02   0.137693E+02   0.000000E+00   0.260690E+06   0.260690E+06   0.260690E+06  -0.655373E-01   0.259944E+06   0.259497E+06   0.230639E+01
   0.118748E+00   0.251876E+06   0.242917E+06   0.144530E+02   0.120944E+02   0.000000E+00   0.250383E+06   0.250383E+06   0.250383E+06  -0.629461E-01   0.249653E+06   0.249304E+06   0.172445E+01
   0.123943E+00   0.241949E+06   0.234475E+06   0.127553E+02   0.106735E+02   0.000000E+00   0.240703E+06   0.240703E+06   0.240703E+06  -0.605127E-01   0.239992E+06   0.239716E+06   0.130536E+01
   0.129137E+00   0.231855E+06   0.225313E+06   0.112651E+02   0.942648E+01   0.000000E+00   0.230765E+06   0.230765E+06   0.230765E+06  -0.580142E-01   0.230078E+06   0.229842E+06   0.107295E+01
   0.134332E+00   0.221161E+06   0.214960E+06   0.993071E+01   0.830988E+01   0.000000E+00   0.220128E+06   0.220128E+06   0.220128E+06  -0.553400E-01   0.219473E+06   0.219243E+06   0.100554E+01
   0.139527E+00   0.209895E+06   0.203553E+06   0.873235E+01   0.730721E+01   0.000000E+00   0.208838E+06   0.208838E+06   0.208838E+06  -0.525018E-01   0.208223E+06   0.207972E+06   0.105077E+01
   0.144722E+00   0.198444E+06   0.191683E+06   0.766817E+01   0.641683E+01   0.000000E+00   0.197317E+06   0.197317E+06   0.197317E+06  -0.496053E-01   0.196743E+06   0.196460E+06   0.114438E+01
   0.149917E+00   0.187358E+06   0.180135E+06   0.674097E+01   0.564105E+01   0.000000E+00   0.186154E+06   0.186154E+06   0.186154E+06  -0.467990E-01   0.185620E+06   0.185306E+06   0.122767E+01
   0.155112E+00   0.177191E+06   0.169668E+06   0.595090E+01   0.497998E+01   0.000000E+00   0.175938E+06   0.175938E+06   0.175938E+06  -0.442306E-01   0.175439E+06   0.175106E+06   0.125980E+01
   0.160307E+00   0.168368E+06   0.160831E+06   0.529174E+01   0.442841E+01   0.000000E+00   0.167112E+06   0.167112E+06   0.167112E+06  -0.420118E-01   0.166642E+06   0.166307E+06   0.122334E+01
   0.165502E+00   0.161047E+06   0.153812E+06   0.474879E+01   0.397403E+01   0.000000E+00   0.159841E+06   0.159841E+06   0.159842E+06  -0.401840E-01   0.159391E+06   0.159074E+06   0.112319E+01
   0.170696E+00   0.155080E+06   0.148405E+06   0.430032E+01   0.359869E+01   0.000000E+00   0.153967E+06   0.153967E+06   0.153967E+06  -0.387073E-01   0.153530E+06   0.153245E+06   0.980483E+00
   0.175891E+00   0.150108E+06   0.144134E+06   0.392267E+01   0.328260E+01   0.000000E+00   0.149113E+06   0.149113E+06   0.149113E+06  -0.374868E-01   0.148684E+06   0.148437E+06   0.823776E+00
   0.181086E+00   0.145708E+06   0.140437E+06   0.359485E+01   0.300822E+01   0.000000E+00   0.144830E+06   0.144830E+06   0.144830E+06  -0.364101E-01   0.144409E+06   0.144199E+06   0.680472E+00
   0.186281E+00   0.141478E+06   0.136792E+06   0.330044E+01   0.276182E+01   0.000000E+00   0.140697E+06   0.140697E+06   0.140697E+06  -0.353712E-01   0.140285E+06   0.140103E+06   0.570386E+00
   0.191476E+00   0.137103E+06   0.132808E+06   0.302820E+01   0.253399E+01   0.000000E+00   0.136387E+06   0.136387E+06   0.136387E+06  -0.342877E-01   0.135986E+06   0.135821E+06   0.502475E+00
   0.196671E+00   0.132426E+06   0.128307E+06   0.277251E+01   0.232003E+01   0.000000E+00   0.131739E+06   0.131739E+06   0.131739E+06  -0.331191E-01   0.131351E+06   0.131192E+06   0.474762E+00
   0.201866E+00   0.127472E+06   0.123348E+06   0.253258E+01   0.211928E+01   0.000000E+00   0.126785E+06   0.126785E+06   0.126785E+06  -0.318736E-01   0.126413E+06   0.126249E+06   0.476870E+00
   0.207060E+00   0.122402E+06   0.118162E+06   0.231034E+01   0.193332E+01   0.000000E+00   0.121695E+06   0.121695E+06   0.121695E+06  -0.305941E-01   0.121341E+06   0.121167E+06   0.494104E+00
   0.212255E+00   0.117429E+06   0.113044E+06   0.210822E+01   0.176421E+01   0.000000E+00   0.116698E+06   0.116698E+06   0.116698E+06  -0.293379E-01   0.116362E+06   0.116177E+06   0.511758E+00
   0.217450E+00   0.112765E+06   0.108283E+06   0.192803E+01   0.161344E+01   0.000000E+00   0.112018E+06   0.112018E+06   0.112018E+06  -0.281612E-01   0.111697E+06   0.111505E+06   0.518537E+00
   0.222645E+00   0.108572E+06   0.104091E+06   0.177021E+01   0.148138E+01   0.000000E+00   0.107825E+06   0.107825E+06   0.107825E+06  -0.271071E-01   0.107518E+06   0.107325E+06   0.508474E+00
   0.227840E+00   0.104923E+06   0.100558E+06   0.163350E+01   0.136698E+01   0.000000E+00   0.104195E+06   0.104195E+06   0.104195E+06  -0.261946E-01   0.103898E+06   0.103711E+06   0.481243E+00
   0.233035E+00   0.101787E+06   0.976392E+05   0.151508E+01   0.126787E+01   0.000000E+00   0.101096E+06   0.101096E+06   0.101096E+06  -0.254155E-01   0.100807E+06   0.100632E+06   0.441102E+00
   0.238230E+00   0.990611E+05   0.951914E+05   0.141135E+01   0.118106E+01   0.000000E+00   0.984161E+05   0.984161E+05   0.984161E+05  -0.247417E-01   0.981331E+05   0.979726E+05   0.394955E+00
   0.243425E+00   0.966001E+05   0.930223E+05   0.131869E+01   0.110350E+01   0.000000E+00   0.960038E+05   0.960038E+05   0.960038E+05  -0.241353E-01   0.957258E+05   0.955804E+05   0.350168E+00
   0.248619E+00   0.942491E+05   0.909308E+05   0.123382E+01   0.103247E+01   0.000000E+00   0.936961E+05   0.936961E+05   0.936961E+05  -0.235551E-01   0.934233E+05   0.932907E+05   0.312704E+00
